sentence	label
"Jack, No he doesn't. he calls the members of Antifa ""losers"" and he's right, they are. He calls criminals losers and they are. He calls politicians of his own party losers when they backstab the very people who elected them and they sure are losers as well. They should be honest and just switch parties rather than continue a losers charade that only the most gullible would believe. When you are a Republican and someone like Sid Schwab is praising you its time to switch parties, I think. . I don't believe I am a hypocrite. I am apparently 'witless' in your book as I do support, not follow, 'our' President and most of his policies. In America we don't 'follow' our elected representatives, we either support them, or not. Following is what people in religious or political cults do. Mind control is a very big part of how a cult lures and retains its 'followers' Our founding fathers learned from 'old Europe' and tried not repeating their errors."	1
Only when it's fact-based. But thanks for asking.	0
It's hard to believe that the Republican party, the party of Reagan, who's defining ideology was opposition to Soviet Russia, now sides with fascist Russia against their own country. They are now the party of treason. We see democracy under attack all over the world. In Turkey Recep Tayyip Erdoğan, an autocrat is dismantling democratic institutions one at a time. The courts, the military, rigging elections, turning the press into a government propaganda organ. Becoming a dictator who will never give up power. Putin did it in Russia. Viktor Orbán is doing it in Hungary. Andrzej Duda is doing it in Poland. Hugo chavez did it in Venezuela and Nicolás Maduro succeeded him upon his death. Don't think it can't happen in here. It's happening.	0
RIP Ed	0
You are an idiot	1
Black Lives Matter kills cops. Muslims drive cars into people in London and Nice. Leftist shoots republican congressman at a baseball game...... I think the neo-Nazis should take a lesson from these other groups. Claim discrimination and prove that you're a minority group. All of this goes away. Just see the groups above.	1
Posting links is a classic move too, by the way.	0
"I wonder what the Pentagon will have planned if this imbecile approves a test shot at Guam? China better step up to the plate and put an end to NK's belligerence. Excellent opportunity for them to be the ""good guy"" in the eyes of the world."	1
state workers may be inept and unproductive but they are grossly overpaid.	1
Might not be that safe if one wakes up and forgets they're on the roof of the car....................	0
Thanks for running this story. It's an effective reminder to keep me looking for the best in reading.	0
There should be a federal law against cities bidding for the Olympic Scams.	0
". The completely predictable response from Trump, yet another, ""All options are on the table!"" from the vacuous blowhard. And just what would all those ""options"" be, Drumpf? He's all hot air, and now the little Korean fat boy is calling his bluff. ."	1
She was rude. Big deal. He wrote a whole column questioning the values of Canadians based on one rude person. Me thinks a chip on the shoulder may need to fall off.	0
Spare me Kellyanne Conway playing the victim. Of course violence is never justified. But she is not reviled for being a conservative. She is hated for being an apologetic liar and her ridiculous spin in support of every falsehood Donald Trump spiels.	1
That's right women don't have the capacity to be priests because women are inferior to men That is the gist of Marty's argument	1
"I wouldn't do it as vouchers but as charter schools and public school choice. Rather than giving people a voucher, parents could ""shop"" for the school that they want their kids to attend. There could be specialized schools - trade schools, language academies, math and science academies, art academies. Some schools like an art academy or a special math school, the kids might need a test to get into but others would just be done by lottery. This is how New Orleans does its school system. There are legit criticisms of charter schools like them expelling problem kids and relying too much on standardized tests but these can be fixed. There can be laws to prevent charter schools from expelling kids to up their academics and evaluation can be on other measures than testing (i.e. drop out rates, teacher evaluations, student engagement, graduation and college acceptance.)"	0
Keep whistling by the NFL graveyard, Mr. Goodell. I turned off your games last year when you refused to tell the players to keep their politics off the ball field. The public are sick of having DIVISIVE leftist crap thrown in their faces at every turn and they are turning you off in record numbers.	1
World --- the only relevant comparisons are the G20 countries and the rest of Canada. FYI comparing results to Yemen or Syria are ridiculous.	1
The fact that Putin/Trumpski was elected says everything about those who voted for him and nothing about President Obama and the majority of the American people who voted for him. Trump continues to be a cheat, a pathological liar and a traitor.	1
What would you qualify as 'the authentic Catholics'? Would you call all those clergies who rape children in confessionals & sacristies? Or all those so call bishops who let these sacrileges go on for over thirty years let alone couldn't care about the innocent children who's life are ruined? Or Pope F., C. Pell, C. O'Malley dilly dally deceiving whole world for three years accomplishing nothing in resolving clergy sex abuse of children problems? Or like Ab. Jerome Edward Listecki, & C. Dolan, who swindle money from clergy sex abused victims? Well, take your pick, since you sound like you know who are 'the authentic Catholics'!!! You sound like one of those condescending authentic Catholic without ounce of humility! And so judgmental too! I would not call those people 'the authentic Catholics'!!!!! LOLOLOLOLOL!	1
By any math, a crowd of 6000 supporters in Montreal is more impressive than a little online club of 6 detractors. There are millions of people throughout the world who want to remind themselves, after six months of the loud alternative, what a President of intellect and dignity looks like. All the Trumpers can do is gripe in their usual bitterness, making sure to look the other way while their silver-spoon hero runs his sleazy family business openly from the Oval Office.	0
""" I’ll certainly take responsibility for it, but I don’t think anything is going to be gained by looking back.” How much leniency has he shown in court when people are prosecuted for ""mistakes.""... ""I don't think anything is going to be gained by looking back."""	0
"All the non-believers please hang on to your disrespectful thoughts for when the rollout begins, get out of the way. You will be mashed in the crap that you spew from your tiny minds and filthy mouths. You all disappoint me to the max for your classless conduct and loser attitude. Can't you move on and get a life? I guess not, since you all are having such a good time jawing back and forth and really without solving anything at all. Well, have at it, especially, klastri, allie, ad1, dai, ready2go, QBcoach15, gonesh, aiea7, downtown, and the ever alert keaukaha. Like the cowboys would say, ""Git along little doggie."""	1
"Darn, you're clueless! I saw every one of the guys you mentioned play - like I said you're 20 years in the past. They were ok for that time period, they'll be nothing special today because none of them, except maybe Ambrozich, could shoot from outside 10 feet. Just because couple of them could sky and dunk don't mean they were exceptional players, they weren't. You want 6'9"" thoroughhreds? Then don't watch UH play because you won't see them playing here nor most of the other conference teams either. What you will see is guys like Allen, Janks every once in a while - good players, but not thoroughbreds. Like I said, let me know when you wake up."	1
it is interesting to see the haters of the left make up the usual stupidity about trump	1
I see the comments here are largely anti-First Nations and are completelyavoiding the topic of transgender rights and Senator Beyak's obvious homophobia. I can only assume this is because they don't want anyone to google HOPE or the crazy conspiracy theories that the Christian Right cling to? One cannot conduct one's own private Truth & Reconciliation Commission here in the comments section. That ship has sailed. And there's no building a revisionist backstory that White Christians were just trying to adapt children to modern industrial Canada. Ha. If that were true, why weren't we seizing Old Order Mennonite children, Amish children or the children of Hassidic Jews? No, the policy from the outset was clear: Destroy the First Nations by eliminating the next generation. As for the Gay Agenda? Well, the Tories prefer to conduct that campaign through whispers and innuendo. And they cringe when someone lets slip the truth like Senator Beyak. That's hard to reconcile.	0
Senator, Alaska contracted to pay incentives to oil companies but has refused to pay the sums agreed to. Now, please try that with the bank that holds your mortgage or car loan. See how that works out. Then, once you've seen for yourself, please do get back to us.	0
"Richard, what came out in November was a recommendation by an Inquiry Committee, not a decision by a tribunal. His fate remains to be decided by the Canadian Judicial Council after written submissions by counsel.(unless they agree to his counsel's request to allow him to speak). His counsel's written submissions are available online, and they review 4 overturned trial decisions in Alberta alone (including these two judges). Following this review, his counsel makes the following argument: ""It is not that the gravity of Justice Camp’s misconduct is lessened by other judges’ similar misconduct. The point is that public confidence will not improve with the removal of just ‘one bad apple’ where there is reason to believe there are others"" I expect Camp's lawyer will have more to say now that it's clear those judges will remain on the bench."	0
Blah, blah, blah Ontario media defending the almighty Ottawa valley again. Sheep.	0
That would be wonderful! Is there some way to get the word out to send the checks to the vet clinic?	0
Banned from Facebook and Twitter.. Oh the Horror!	0
Many people are missing the point. A teen from youth group actually said that he thought that since AL, the Catholic Church has changed its teaching. He thinks that adultery is no longer a mortal sin. What would you tell him? God has a commandment against adultery. We must obey God. There are bishops with opposite views on this. They can't both be right. Did you read all of Amoris Laetitia? Did you read the dubia? If so, how can you consider those questions unimportant?	0
I can't speak to the dieting, but you should try a proper CrossFit gym! No exercise regimen--even HIIT--has to be joyless. Most CrossFit gyms are not. But the fun doesn't come from the burpees. It comes from the camaraderie; the development of new skills (or, if we're being honest, tricks); noticeable changes in your fitness; and , if you're into it, competition. I don't know what your gym is like, but if you want to make HIIT/CrossFit-style workouts fun, I'd highly recommend finding a CrossFit gym.	0
"Gay men have been vilified by society for their alleged sexual promiscuity. Straight buffoons such as Trumplethinskin are secretly or even openly admired by their male (and some female) counterparts when they brag and crow about ""getting a lot."" I've more than once wanted to ask these frozen-in-time pubescents that, if they had to give up half of their sex lives which half would it be: thinking about it or talking about it"	1
Speaking of Jordan, he's the greatest, not LeBron James.	0
"Like someone somewhere used to say: ""It's all Supply & Demand till someone throws a Monopoly"" (or compels that friendly middle-aged lady living next door who takes the dirty TTC everywhere to compete with a 5yr old from Bangladesh who earns 25 cents an hour...)"	0
Lots of babies die today too as a result of medical care (abortion).	0
No credentials, no evidence, no links to support your partisan claim. Although you did manage to insult Canadian Forces, good for you. But lets deal in facts and reality. Despite assurances to the contrary, the Iraqis did not quietly, nor happily, accept Canada's withdrawal of CF-18 jet fighters from combat against the Islamic State, new documents reveal. In fact, Khalid Obaidi, the country's defence minister, argued for Prime Minister Justin Trudeau's government to change its mind in a high-level meeting prior to the suspension of the bombing campaign. - cbc.ca	0
And Texas.... Really? There are bigger spenders across the waters.	0
This really bothers me. Why was this child allowed near to this animal? Why was this animal so near to this child? There are 2 sides here, both adults. They both should be charged with this death. Stupid, is not an excuse.	1
"So. How do we flip this sucker ""Cold"" civil war to ""Hot"" civil war? To be honest, what we are seeing is the globalist political, economic, social, and leftist intellectual elites try to impose their will on those who are tired of being imposed on. Until there is radical social, cultural, political, and economic change; nothing is going to happen. Search deep down in your souls and you will see I am correct. I am just unafraid to say what I think."	0
What could be more disheartening and scary than to find that your best friend and colleague in whom you have placed your trust has suddenly become a lying, perverted, psychopathic, egomaniacal bully. And his own family is letting him destroy their home and ruin the whole neighbourhood.	1
"""You know there's no crooked politicians. There's never a lie because there is never any truth."" LB"	0
Actually it's more like the world has grown weary of Liberals. Leave it for us in Canada to be the last left with an idiot Liberal government. That's okay it won't last.	1
I got 11/15, so still some room for improvement	0
That's dollars and dollars of money taken from us, which could otherwise be invested or saved, or debts paid off. A dollar today can be worth 10 in 25 years. But not if the government takes it first.	0
I see all of this as a culmination of every time the left has called the right racists and all the phobes - for years. They've said it so many times, people on the left believe it. It is very insulting to republicans, and they are very quick to denounce the group(s) for the very reason you see happening here. Trump is not a racist, but they are pushing this narrative as if he were the leader of the Ku Klux Klan. It is very divisive and inflammatory, and does not get to the root of our problems. The media is painting the alt-left as social justice warriors who have moral superiority and are fighting against racism. Today they are looking at the Charlottesville event in isolation. If you look at the whole picture, and look at everything they've done since the inauguration -- the violent protests, smashing storefront windows, burning limousines -- you can see they are not as nice and innocent as the left treats them. Not once has this behavior been condemned.	0
Oh, now isn't that fair. Remove Christianity and replace it with any thing but(I have a good idea of which peaceful religion you are thinking of) No religion in schools! Persue your faith at home!	0
"""I look at Brent Butt's career now and, God, I wish him well. Here's a great comic who stuck with his principles and he's got a hit TV show with Corner Gas. It's a good show, that's what's really important."" Corner Gas was garbage and the only reason Canadians watched it is because its ""Canadian made""--it wasn't funny, inane and I had to turn it off each time after a few minutes of watching it. As for Bullard-he got what he deserved-for him to ""bad mouth"" CTV after they gave him a chance to have his own talk show was disgusting. Ironically the show that replaced his show on CTV (The Daily Show) pulled in far better ratings than he ever did anyway. As of April 2017 Bullard has got enough to worry about with his possible trial for harassing his ex-girlfriend (Cynthia Mulligan)"	1
Applying that flawed logic, then every POW held by the Japanese and tortured were entitled to be tread as a Canadian!	1
"Moderate, reasonable and rational GOP leaders had the opportunity to condemn Mr. Trump's candidacy over the past year or more. As this editorial implies, they were too cowardly to do so. Remember, cross the right-wing of the GOP and they will find someone to run against you in the primary, have their deep-pocketed supporters finance their campaign and you will be out of a job. Now, the Party is stuck with Trump and those leaders are trying to find a way to survive the election without Trump sinking down-ballot candidates. What a massive ""screw-up."" Each day Mr Trump manages to say something to dig his hole a little deeper. I wonder how he's going to manage to avoid the Presidential debates?"	0
No facts? I was there, and I own a home. My in-laws were there, they've owned their home since the late 60s. We protest not because we're worried about a sea change, but because this sociopath does not represent the American value system. If you believe his lies, then I really do feel sorry for you. Unless you are quite wealthy, you're undermining your own interest.	0
Kasubhai is fair minded. People can believe whatever they want. If they actually violate the rights of others, they are subject to prosecution.	0
As easily as the 'non-partisan' Manning Institute.	0
I guess Vice wanted to be closer to their financiers.	0
We have three Aussies. Aussies are typically a non-aggressive breed unless improperly trained, bred merle on merle, have poor genes, or have a history of abuse. However, they can be stranger shy & owner protective. Ours have been the most loyal, sensitive, smartest dogs we have ever owned & we have had many breeds. Why was the Aussie in an apartment and around a possible stranger? They need room, yards, jobs, training, etc.. Maybe it sensed fear? There is more to the story and ide love to hear the other side.	0
"With or without intent, this latest Alaska law that subordinates a U.S./State's citizen's Constitution-guaranteed protections to a faux ""legal Indian tribunal"" from an equally un-Constitutional faux ""Indian tribe"" remains un-Constitutional. And, as such, this legal action carry no weight in court regardless of what Alaska common law says...the faux common law cannot be enforces as it is null. The political notion advocated by Constitutionally ignorant Alaska governor and his attorneys that a U.S./State citizen since the Indian Citizenship Act of 1924 remain in their same statues as they were in the 1800's. Governor/legislature cannot subordinate citizenship Sadly not one politician nor attorney questions that Constitutional absurdity! And, between ignorant politicians and equally stupid attorneys who should never have passed Constitutional law, perpetuate the fraud upon the Constitution and continue to 'dumb-down,' 'gullible' voters. It is the citizens of Alaska who are being duped"	1
Yes, you see it too...Lump Trump in with those other perverts and sex offenders, why do you resist...#MAGA	1
"I will comment on one aspect of this discussion - Kristoff brings up the issue of ""Scientific Methodology"" and proof. Why doesn't he apply that same burden of proof on ""The Big Bang"", Evolution and all the other hair-brain, crackpot theories purported on our kids these days."	0
hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil.hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil. hate whitie, worship israheil.	1
"Repeal became ""repeal and Replace"" but all along it it was a bate and switch. Centralized government controlled healthcare is here to stay. When has Washington ever given up power it has seized from the people? Face it! We have lost our freedom - we are all on the government plantation now!"	0
"""Not until 1880 did the Electoral College become a binding body as we now have. Hence, Williams crying foul about “faithless electors” is historically and constitutionally misplaced."" Legally accurate and historically accurate for 135+ years. Constitutionally correct, since this is the choice of the various state, who hold that power constitutionally."	0
Less is better !	0
I never thought I would see the day when the editor-in-chief of Canada's national newspaper would be so supine as to apologize because a particular word was used that had multiple meanings, one of which offended some members of a particular identity group. Writing for The Mop and Pail will henceforth be much more drudgery than it is now. Now Globe columnists will be expected not only to know the multiple dictionary meanings of the words they choose but also the sexual, political, racial, regional, religious and other identity characteristics of those to whom the words are directed for fear of potentially discomforting the persons referenced. The last time I can recall anything this ridiculous was several years ago when someone on the Washington, DC city council said that the proposed municipal budget was niggardly (stingy) allocating funds for some project and a black councillor demanded that the comment be removed from the record as being racist. This is just as craven and dumb.	1
"Oh, I see Nancy. Unlike ""bend over Barrack"" Obama's red lines that kept disappearing (and is why NK feels so safe to threaten us today) and ""I didn't have sex with that woman"" Clinton said that we would never be threatened by NK again after he gave in to their blackmail in the late 90's. Now that Trump said it straight, you are finally coming out of your coma. And showing that, yes, you are insane."	1
Don't expect liberal or conservative governments to do anything to rein in corporations. It won't happen. There is no enforcement for any consumer protection laws (if they exist in Canada). Note however the liberals refuse to change the last conservative government law that allows lawsuit trollers to harass Canadians who may download the odd movie.	0
Jeff, You make good points. Palestinians, First Nations, and Canadian homeless are, by and large, weaker than folks like yourself living in middle class fools paradise, I'd bet you earned your semi-luxury, by and large, honestly. But these are no good reasons to turn a blind eye to the suffering of the vulnerable, to isolate them, demonize them, take advantage of them, scapegoat them, build a global economy on their backs, use them as a political football. You might have noticed, these are lessons Donald Trump's election has yaught us. (lol).There's a big ugly divide between middle class and working class. The haves ignore have nots at their peril and the peril of our civilized make believe democracy. The pie is only so big and no matter how big the haves make it, they need to share it with the have nots. There are none so blind, deaf and dumb as educated folks who will not see, hear or speak,	1
Thought the NY crowd was a bit dead which may have helped. Good solid game by the Habs and a damn pretty goal by (I think it was Gallagher, sorry Leaf's fan so I'm not totally up on the Canadiens. God I love watching Price and Gallagher, you really should trade them to us...cheap.	1
The average IQ in America is 100. 80+90+100+ 140 = 102.5 average. In other words, 3 out of 4 Americans can barely understand how a toaster works. While I was able to learn to read and write by 5 years old, the 3 peers I grew up with were only capable of learning to read and write at a 3rd grade level. Nothing is ever going to change that fact. Not even the most expensive babysitting in America today.	0
Beat me to it!	0
I believe that being a crook is part of the job description for all political positions above the state level, being stupid and getting caught is grounds for dismissal.	1
"It's a legitimate question. One word from his lying mouth and a company's stock price tumbles. It's very reckless and irresponsible. What is ""pathetic"" are your posts and replies. They/you seem utterly un-informed - not unlike the Trumpster himself."	1
Maybe if we were not over taxed to pay for those new immigrants and their huge number of babies.......we could start being baby makers again.	0
"""Our best versus their best...,"" says Gibbons, whose team blew a big lead, and won only because Betances did another melt-down, walking four of five batters faced, including two with four pitches. Maybe Gibbons believes that the four Yankee starters on the DL are not among the best, but Castro & Holliday alone are so far superior to the BJ's rubby dubs, I think he ought to go back to his dugout napping and leave the insights to others. Hicks is a pretty good OF, too, while Bird's injury has let to NYY having ten different 1B this season. And Estrada's vulnerability is back in play, after only a couple of decent outings to remind us of how good he was in 2016. Thank heaven for Pineda's inconsistency, too."	0
"To put it mildly, Margaret Atwood has written better books than the ""Handmaid's Tale."" In it, she has taken too much artistic liberty, and turned past events of history (taking them out of their respective historical contexts) into a caricature of her ideological nightmare. The troubles of women and men will never be solved or resolved by turning them against each other. This is simply a very shortsighted and stupid strategy. In history, women have proven time and time again, that when coming to power positions they can be -- and are -- just as ruthless and inhuman as men. The assumption that women - just because they are women - are better human beings then men, is just as false and silly as claiming the opposite. Unless we step out of this silly gender power-game, where claimed victimhood is just as effective a source of power and abuse as its opposite, we as the human community, and Western culture in general are destined to fail."	1
I like that. Very persuasive. Our Alaskan Senator must be worthy of attention and not be a legal military advocate of FEMA camps for civilians as her remarkable chosen public service. There's more to Alaskan life.	0
A stupid joke that makes light of an alleged sexual assault by a person in a position of power? Take two weeks off then quit.	1
It should be pointed out that the decision to base legislative representation on population, but to count slaves at a discount, was an attempt to limit the legislative power of the southern states where slave holding was prevalent, not a comment on the essential humanity of slaves themselves. The latter was clearly dealt with when slavery itself was allowed to continue. Sixty percent was the result of a compromise between northern interests who held that, if slaves were property, they should not be counted at all (except for purposes of assessing the wealth, and thence the taxes owed, of the states) and the southern states that held that they should be fully counted for representation purposes (even though they -- like women-- could not vote), but not at all for taxation purposes. Regardless of his other points, Caplan seems to me to be correct when he identifies black/white race relations as the defining thread in U.S. domestic history.	0
The reason he is owed compensation is that Canada failed to protect his rights as a citizen — despite being warned by the Supreme Court, the government acquiesced and allowed the US to illegally detain and torture Khadr. The award is actually good news, in the sense that it reminds our government that they can't just pick and choose which citizens they want to protect.	0
Let's dispel the immigration myth right now. The current exploitation of fear of immigrants is co-ordinated by weak and insecure, fascist, white supremacist, neoNazis in the White House.	1
And not only that. The gospels were not written by the contemporaries of Jesus. They were the result of the passing on of oral tradition, and were the attempts by the writers to pass on the message of the Way to the people of the time and place for whom they were written. To pretend that these are the direct, exact quotes of Jesus is disingenuous at best.	0
Blow it out your bigoted ass.	1
"ahhh, sound science. as long as you think its ok, it's "" sound"" hilarious."	0
"The guy behind the coconut road scandal is an Alaskan mountain man? He's a corrupt old backslapper whose distinguishing characteristics include being a jerk to reporters and schoolchildren and taking credit for Uncle Ted's deliveries of DC pork. The only thing distinguishing him from all the lobbyists on K street and the rest of the ""Republican establishment"" you Trumpettes profess to hate is his foul mouth and 1950s worldview. Actually just his mouth."	1
Who said Mission Accomplished? Bush didn't.	0
Perhaps Max Bernier would be the fresh breath period Canada needs to break loose from being overly hamstrung and governed by huge governments. However he would face less of a battle with his peers, more with the voting public, which is so used to live in its 'secure' golden cage and doesn't like any loss of service, however good or bad it is administered. It remains to be seen how many drastic mistakes will be fabricated by our present regime in power until election day if people get ready for drastic political agenda swings, never mind the actual implications...	0
Marijuana.......Heap Big Medicine!	0
"I so agree, and while I could not in my wildest dreams vote for Trump. He was having fun, showing people will believe anything, no matter how far fetched it was. He was just saying what they wanted to hear, he did not believe it himself. Will Rogers once said ""A Fool and his Money will be elected"", so Trump proved that right. Skeeter Davis had a country song and part of it was ""a fool born every minute"", and so look how many fools were born listening to and believing Trump. Now to stress this point, I did not vote for Clinton, I did vote, but for the first time since I started voting I just never knew the two top runners for President, were not qualified to even clean the White House, let alone live in it."	1
There isn't one. A potential idea for an ordinance was brought to the board by a retired Deputy Attorney General of Oregon and a retired County Counsel. The board asked their counsel to bring an ordinance back and then they will make a decision. If these folks actually viewed the meeting online instead of only getting their information from the RG, they may learn something.	0
I hope the absurdity of this situation is not lost on people, even those who may be generally critical of Israel. All visitors to the Western Wall pass through security before being allowed access. Mecca is monitored by literally 100s of cameras. In how many countries in the middle east are Jews and Christians free to pray at synagogues and churches? The world is upside down...	1
You know what's really dumb: posting the same denialist crap over and over using multiple monikers, formerly. And burning down your OWN Province !	1
Question for the City, what do you do if a jerk lives next door and he is too lazy to clean up his tree limbs that landed on your sidewalk & street frontage? I'd share his address but that might start a war like the Hatfields and McCoys. What is our recourse, when we hired an arborist to clean up our fallen trees... yet a lazy much younger neighbor didn't even walk out to move one branch in the road from his giant fir trees that fell?	1
"These ""parasites"" you speak of aren't as lucky as the ""parasites"" who live in Manoa, you know, the 50% or so of adult residents who live with their parents or grandparents (multi-generational families) who I doubt pay more on average in rent to their parents and grandparents than the average person living in MWH."	1
Hmmm....does hooker ring a bell on the trailer park door? Goes home with money and comes back for more......sounds to me like a who#%!!!!	1
Also we should use them as lab rats for medical tests, don't you think?	1
And you know the Russians weren't involved because ...?	0
Well they certainly named that software (SAP) aptly. Seems you would have to be one to buy into it. I doubt they will ever finish it. The city will just keep throwing money at it forever and ever, into the abyss. By now they could have hired a team of their own private developers to build a completely customized software package for them. It's shameful.	0
You could not be further from the truth. Those sacrifices were made exactly for that reason, among others. Their sacrifice insures that you can continue to make disrespectful comments.	0
Its one big Saturday Night Live routine. Idiots on parade.	1
I'm not a progressive. As long it's him being shot and not me, I'm all for it. In general the bear is more interesting alive than the bozo that shot himself.	1
"The Trump Press Conference ""is a tale told by an idiot, full of sound and fury, signifying nothing."" (Macbeth)"	1
Hey XM. I have been logged out of this system for days. Totally logged out. Out of respect for you, I'm here to say nobody gamed the system, I promise.	0
You just can't please some people... they would complain if you was to hang them with a brand new rope.	0
I wish to add that I admire the history of the Jewish people and their struggles are many. I just fear for the future of the Palestinian people, and wish, against all rationality, for peace there. Ireland stopped the bombs, mostly, and South Africa stopped the apartheid, and though many died, peace finally came to Southeast Asia after we left. I recognize that many of the most fervent supporters of peace and the rights of the Palestinian people are Jewish and live in Israel, and goodness knows I wish them well to find that perhaps impossible to find path to long lasting peace. My above writing was a little dark and hopeless, and probably doesn't serve those who fight for peace, may they be many. Hugh Massengill, Eugene	0
"You just hit the nail on the head with your final remark. ""cheaper to give all of the families housing"". My argument exactly to DHS. The role of child welfare is actually to give a hand up to families, not a slap down. Public needs to be educated on this!"	0
"So many that he won't stand for the anthem of ""such a country,"" as he calls it. Disgusting."	1
"@Steven Forth_ ""Are you unable to address Mr. Trump's behaviour?"" His behavior? You mean the fact that he tweets instead of keeping his mouth shut? This not my concern, although it seems to be the major issue with Canadians. My point IS simple - everything is being done to help PR - period. And quite frankly there isn't anything I've seen in this forum that proves otherwise. Speculation means little. Sorry."	0
I think Chelsea Lyons Kent should flip all her stupid small minded critics too - maybe many of her travel donors feel their investment made a bigger and better difference than expected. We paid for Bernie all the way through a dirty rigged DNC owned by Wall Street. From the out-set, we know the bs and odds against the establishment, media and cheats but we pitch in to make a stand and a difference - and we take this opportunity too to show the DNC and RNC up for what they are. We know the suffering, oppression and genocide that comes with liars and war mungers pre-ordained to continue more of the same with a pathway to the WH. The finger flip is nothing in the scheme of things - e.g.: not one iota to children in Syria. I'm glad Chelsea hasn't apologized - its free speech and I hope she walked out of the DNC. Why don't you critics busy yourselves with posts about corruption in the DNC and bigotry in the RNC. VOTE GREEN	1
"""The amount of out of working Americans has never been bigger"" Source? ""the violence among black has never been worse"" Source? ""[Obama] created ISSI"" I assume you meant ISIS? Source?"	1
Only in the canyons of your mind Major.	0
"Ah, but one of the Constitutional requirements for President is ""natural born"" citizenship, so requesting his birth certificate was valid. All the rest is smoke & mirrors, as is a demand for tax returns. That being said, since his mother was a MidWest farm girl, it didn't really matter where he was born."	0
SD, we don't even have to venture into those areas. I guarantee that a tiny percentage of kids who graduate from a 4J school know anything about the most important event in modern history. An event who's repercussions are still reverberating throughout our present world: the French Revolution of 1789 (and the revolutions that followed). How can people understand the present world without a deep knowledge of history? History is taught in such a hackneyed fashion today. It has become the pet subject of the social justice warriors, which is a real tragedy. And all history isn't equal. Western History should get a lion's share of the attention. If we are going to preserve our democracy, we have to know how fragile it is and everything that went in to creating it. Democracy doesn't work without healthy participation of the populace. Why then doesn't 4J teach even a smidgen of civics until high school (is it even taught then?).	0
"Huh. Run over by who. ? Tell us about the last time you "" ran over"" a trooper going 65 in the left lane. Yea thats what i thought. Idiot"	1
Many know me as VapinJenn on the Juicin With Jenn Shows on vapers tv. Here is my story on why I started to vape: I am a former 2.5 pack a day Menthol 100's smoker and I sucked each and every one of those down. I started smoking at the age of 16 Dec 3, 2013 I was diagnosed with metastatic brain cancer, 3 tumors all not operable one on my motor skills, one on memory, and the one they are constantly concerned about is the one my brain stem I picked up my first ego/evod set up and my 22mg of e-liquid and as they say the rest is history. After over 20 years of smoking I never thought a simple device would work. Something that actually worked. No medications, no patches a simple device that helped me to quit the combustible tobacco roller coaster. Vaping is saving my life. I will forever have these tumors and will be in and out of Chemo forever, but I will NEVER smoke again!! Don't be a casualty I lost 2 people to COPD because of their smoking!!	0
Your eloquence is so... Um..... persuasive.	0
